objectid;region;posicion;sistema_vo;tipo_volca;clasificac;total_fact;total_ries;latitud;longitud;cod_epsg
1;La Araucanía;1;Villarrica;I;Estratovolcán;18,93246154;435,44661537;-39,4200000009999;-71,9390000000000;4326
2;La Araucanía;2;Llaima;I;Estratovolcán;17,28541247;380,27907444;-38,6940000009999;-71,7329999999999;4326
3;Los Lagos;3;Calbuco;I;Estratovolcán;15,96371684;335,23805363;-41,3290000009999;-72,6140000000000;4326
4;Ñuble;4;Nevados de Chillán;I;Complejo;16,09880017;305,87720327;-36,8710000010000;-71,3679999999999;4326
5;Los Lagos;5;Puyehue-Cordón Caulle;I;Complejo;14,11817689;296,48171478;-40,5850000010000;-72,1120000000000;4326
6;Los Lagos;6;Osorno;I;Estratovolcán;14,40062653;295,21284388;-41,1020000010000;-72,4990000000000;4326
7;Los Lagos;7;Mocho-Choshuenco;I;Complejo;14,56433573;276,72237890;-39,9300000009999;-72,0300000000000;4326
8;Biobío;8;Antuco;I;Estratovolcán;14,14397366;268,73549956;-37,4100000010000;-71,3509999999999;4326
9;Los Lagos;9;Carrán-Los Venados;I;Campo volcánico;16,08549833;265,41072247;-40,3660000010000;-72,0730000000000;4326
10;Maule;10;Cerro Azul-Quizapu;I;Complejo;12,50000000;262,50693772;-35,6540000009999;-70,7590000000000;4326
11;Los Lagos;11;Chaitén;I;Complejo de domos;12,79164305;255,83286094;-42,8370000010000;-72,6500000000000;4326
12;La Araucanía;12;Lonquimay;I;Estratovolcán;14,91933411;238,70934579;-38,3790000010000;-71,5889999999999;4326
13;Aysén del General Carlos Ibáñez del Campo;13;Hudson;I;Caldera;10,23544773;214,94440237;-45,9000000010000;-72,9700000000000;4326
14;Antofagasta;14;Láscar;I;Estratovolcán;10,05253912;165,86689553;-23,3630000009999;-67,7309999999999;4326
15;Los Lagos;15;Michinmahuida;II;Estratovolcán;11,93003000;202,81051003;-42,7980000009999;-72,4449999999999;4326
16;Los Lagos;16;Yate;II;Estratovolcán;15,59741720;202,76642366;-41,7590000009999;-72,4000000000000;4326
17;La Araucanía;17;Sollipulli;II;Caldera;14,41264262;201,77699674;-38,9770000010000;-71,5189999999999;4326
18;Biobío;18;Copahue;II;Estratovolcán;11,71134418;199,09285113;-37,8500000010000;-71,1700000000000;4326
